,index,text,label,multi_label,split,language,length,source
265,7159,"One of Brazil's most popular and well-known vocalists, singer-songwriter Flávia Coelho, says she's quite inspired by the political and social news in the country. Her new musical work, DNA, is the result of that inspiration and an innovative exploration of the boundaries of human beings. The artist still claims to have grasped the influence of Brazil in the music that she produced, particularly in the way that she understood the place of rhythm and impact. ""Rhythm and percussion are elements that cannot be missing from my new record. Impact, in particular, is the element that stands out and allows me to explore Brazilian identity. Brazil is a country of dance, and that energy was always by my side,"" explained Flávia. Through her new album, the artist also recalls her education and experience with the tradition of Northeast music, as well as her past in the percussion of samba, one of the richest segments of the Brazilian musical universe.",1,alpaca-lora-30b,test,pt,163,MULTITuDE_MassiveSumm_rfi
266,7165,"Posted on: 28/01/2013 - 00:35The new Chief of the General Staff of the Senegalese Armed Forces is on a visit to Bissau this second Friday, 28 January, an opportunity to review the Senegalese troops participating in the ECOWAS standby force in Guinea-Bissau. Indeed, the Senegalese general, Mamadu Sow, the chief of the general staff of the Senegalese Armed Forces, begins this second Friday, 28 January, a two-day visit to Guinea-Bissau, at the invitation of his Guinean counterpart, General António Indjai. This force of more than 600 men was formed by the member countries of ECOWAS, on the occasion of last April's coup d'état in Guinea-Bissau. Senegal has made available about 200 men for this force, designated military doctors who are giving consultations at the military hospital in Bissau. From the Guinea",0,human,test,pt,145,MassiveSumm_rfi
267,7178,"Families of thousands of Brazilians living in Germany will stay at home longer. This is one of the measures that the German government is considering to combat the COVID-19 pandemic. Following the German newspaper Die Welt, the government is evaluating the possibility of banning domestic travel in Germany itself so as not to make it impossible to contain the disease. One of the measures that is being considered is forcing people to take the COVID-19 test before they leave home. This can be done with a USB key that's going to be handed out to every person who requests a pass to leave. Also, the German government is evaluating the possibility of extending school holidays for another three months, until Friday in April. This is happening because of the increase in new coronary heart disease infections in Germany. Brazilians living in Germany are concerned about these measures. Most of them are afraid of being trapped in their own homes, with no access to the streets and basic services.It's not fair.",1,vicuna-13b,test,pt,238,MULTITuDE_MassiveSumm_rfi
268,7231,"A Center for Information on Drugs and Toxicology (CIMETOX) of the Faculty of Medicine of Malanje starts operating on the first 15th of November next, announced in this city, the dean of the institution, Dr. André Pedro Neto. The public reference unit in the area of clinical toxicology, environmental, occupational and drug addiction will attend to patients under permanent regimen, by phone, e-mail, fax or face-to-face when they are diagnosed with poisoning or poisoning. The Center for Information on Drugs and Toxicology will be open on the occasion of the completion of the symposium on toxicology, which will address """" The Ways of Toxicology and the Protection of Life """" on the ninth and November, as part of more than one anniversary of the independence of the Republic of Angola. """" We want",0,human,test,pt,158,MassiveSumm_voaportugues
269,7260,"Brazilian educator Paulo Freire, who has been criticized by Jair Bolsonaro's government in Brazil, was celebrated in Switzerland. Freire is known for his critical theory of education, which emphasizes the importance of awareness and equality in education. His ideas have been implemented in many countries around the world, and he is considered one of the most influential thinkers in the field of education. In Switzerland, Freire was inducted into an event organized by the University of Geneva, where he received an honorary doctorate. The event was attended by teachers and students from all over the country, who emphasized the importance of Freire's ideas for global education. In this regard, in Brazil, the Bolsonaro government has attacked Freire and his theory, claiming that it promotes a schizophrenic doctrine and an ideological agenda. In February 2019, Brazilian Education Minister Ricardo Vélez Rodríguez declared that Freire's theory is a """" dangerous ideology """" and should no longer be taught in schools. ",1,gpt-3.5-turbo,test,pt,224,MULTITuDE_MassiveSumm_rfi
270,7278,"Brazil and South AfricaJovem Joesley Batista, owner of the JBS Institute, is around Brazil and South Africa. I was imprisoned in New York City, for extending, to pay for his contributions to the extinction process of the company that had already been set up in Nuria, which was acting as national nations against its own countries. Jov Joesley Batista, owner of the JBS Institute, is around Brazil and southern South Africa. I was imprisoned in New York, for extending, to pay for his contributions to the process of extinction of the company that had already been established in Nuria. (Laughter) But his son, Jair, moved from Brasilia to New York, to New York and from New York — this for not doing his degrees in Brazil and to South Africa — to Minas Gerais. (Laughter) Sometimes, I remember your grandfather, Joesley Batista, my grandfather, and we said, """" We're going to hear about the whole process of extinction of the company that has a connection with their most prosperous countries (Only in their part, in Syria). """" But what you're still seeing is just the extinction of the",1,opt-iml-max-1.3b,test,pt,219,MULTITuDE_MassiveSumm_voaportugues
271,7317,"South African President Jacob Zuma advocated stronger economic integration among African Union countries in his statement at the Extraordinary Summit of the African Union in Dar es Salaam, Tanzania. In his openness speech, Zuma highlighted the importance of regional economic integration and the benefits that resource sharing can bring to African countries. Zuma emphasized that regional economic integration has been a critical factor in the economic and social development of the African continent, increasing competitiveness and diversifying investment channels.",1,alpaca-lora-30b,test,pt,89,MULTITuDE_MassiveSumm_voaportugues
272,7321,"Pope Francis arrived in Dhaka, the capital of Bangladesh, after an official visit to Myanmar. His two-day visit to Dhaka is the first by a pontiff to the country since the arrival of Pope John Paul II in 1986. The pope's agenda includes meetings with Prime Minister Sheikh Hasina, Vice President Hamid and other political and religious authorities, as well as a mass for nearly 100,000 Catholics at the Mirpur stadium. He will also visit a St. Francis Xavier Charity Center, one of the few sources of clean water in the country. Francis's visit was aimed at strengthening interreligious dialogue and promoting human rights.",1,alpaca-lora-30b,test,pt,113,MULTITuDE_MassiveSumm_acorianooriental
273,7324,""""" The island of São Miguel, the Azores, was the birthplace of Ana Sousa and João Bettencourt, two people relocated around the world. Ana, 35, moved to the city of Ponta Delgada, on the island of São Miguel, to attend college. There, she met her husband, also an Assyrian, with whom she has two children. John, 38, moved to the city of Lagoa, on the island of São Miguel, when he was still young. There, he met his wife, also an Austrian, with whom he has three children, but despite loving their new home, they both still remember the place where they were born and raised.My parents still live on St. Michael's Island, I love the land and the sea,"" said Ana. And João added, """" I also love the island, it's the place where it all started for me. """" They're not the only ones who have left the island. Many other Eastern Azores have also moved to other parts of the island or to other islands in the Azores.""",1,vicuna-13b,test,pt,161,MULTITuDE_MassiveSumm_acorianooriental
274,7326,"The leaders of the Community of Portuguese-Speaking Countries (CPLP) are going to meet on the island of São Tomé, Angola, to renew the commitment to fight hunger in their region. The meeting, which is scheduled for January 27th and 28th, is organized by the United Nations Educational, Scientific and Cultural Organization (UNESCO) and will be attended by authorities and experts from various countries. Following UNESCO, the aim of the meeting is to discuss ""measures to strengthen the efforts of CPLP countries in the fight against hunger, in line with the United Nations' Sustainable Development Goal 2.""",1,vicuna-13b,test,pt,100,MULTITuDE_MassiveSumm_voaportugues
275,7411,"In terms of supply, São Paulo is, in the second half, one of the largest cities in terms of supply in India. Together with Ceará, São Paulo is one of the strongest supply cities in the world, according to a study released by the Ministry of Agriculture and Fisheries. The study, which conducted a series of meetings between May and December with people from food suppliers in cities in different states, found that the supply of cities in the world is strongest in six other countries: Córdoba, Brazil; New Zealand, the West; Iran, Iran; South Korea, South Korea; Chile, Chile; Peru; and Guatemala, Guatemala. In terms of supply for fashion, the second largest supply that's happening in urban areas is in Ceará, India.",1,opt-iml-max-1.3b,test,pt,120,MULTITuDE_MassiveSumm_bbc
276,7459,"Attacks in Syria: ""America, France and England did very well.""",0,human,test,pt,11,MassiveSumm_rfi
277,7503,"The opposition in Guinea-Bissau promised to continue to hold demonstrations until the current government fell. The country has been marked by a protracted political crisis, with the president dismissing several prime ministers in recent years. The opposition accuses the government of corruption and not doing enough to address the country's economic crisis. The demonstrations have been peaceful so far, but there are concerns that they could escalate into violence if the situation is not resolved. The government responded to the demonstrations, calling for dialogue and criticizing the opposition for trying to destabilize the country.",1,gpt-3.5-turbo,test,pt,92,MULTITuDE_MassiveSumm_voaportugues
278,7527,"Peru announced yesterday that it will present evidence of espionage from Chile, following accusations that the Andean country is involved in espionage activities against Chile. Peru's foreign minister, Edgar Vasquez, has stated that his nation will present concrete evidence that Chile is engaged in espionage activities against Peru. Vasquez has also stated that the indictment was officially made against Chile by Peru, and that he expects Chile to immediately arrest the involved spies. The minister also stated that Peru does not tolerate espionage activities in its territory, and that it will take measures to ensure the security of its citizens. Chile's espionage accusations arose recently, after the arrest of a group of people suspected of being Chilean spies. Peru has been increasingly concerned about the rise of espionage activity on its territory, and has threatened to take diplomatic and commercial action in response.",1,vicuna-13b,test,pt,157,MULTITuDE_MassiveSumm_bbc
279,7529,"The city of Ponta Delgada is preparing for the celebrations of the Holy Spirit, which will take place in the next few days. And as is a tradition in the region, there will be servings for the faithful and visitors. According to the organization, it's estimated that about 14,000 soups will be distributed during the festivities. Soups are an important symbol of religious festivities in the Azores, representing sharing and unity between the community. They're made out of large copper plates, in a tradition that goes back over five centuries, and to ensure that everyone can participate and taste the soups, there will be various benches and distribution points all over the city. In addition, the organization counts on the support of local volunteers and sponsors to ensure the success of the event. The Holy Spirit Festival is one of the major religious and cultural events in the Azores region, attracting thousands of visitors every year. In addition to soups, festivities include mass, processions, music and traditional dances, among other things.",1,gpt-3.5-turbo,test,pt,163,MULTITuDE_MassiveSumm_acorianooriental
280,7553,"Most of the new investigators in the Judicial Police are already 31 years old, so there's no registration required. Some are in preparation, but some are already in training and some are preparing their classes to get into the course. Following the numbers from the Department of Homeland Security, between 2008 and 2016, there were 7,329 PJ inspectors enrolled, but only 1,964 completed the course, which is 43 percent of the enrolled, not counting the enrolled who have the years of maturity and the enrollments to make. The retired inspector Rui Monteiro, 60 years old, who has been in schools and law schools in various countries, sees the difficulties that the enrollments must have because of the """" advanced lifespan """" of the enrolled. """" The second reason is the lack of registration. If, with the new registration law, there are fewer people enrolled because there is no interest, or there will be fewer people getting the training, it's a problem that has to be solved. """" There's no shortage of """" firemen. """" The problem of lack of input",1,opt-66b,test,pt,181,MULTITuDE_MassiveSumm_acorianooriental
281,7587,"Beijing — China has invited foreign oncologists to examine the political activist and Nobel Peace Prize winner Liu Xiaobo, who is currently being treated for liver cancer in a prison in Beijing. China's Ministry of Foreign Affairs spokesperson Hua Chunying said that foreign doctors have been invited to """" conduct a medical evaluation of Mr. Liu Xiaobo, """" and that """" China is willing to cooperate with foreign medical professionals. """" Liu Xiaobo, a political dissident and human rights activist, was arrested in 2008 for participating in Charter 08, a manifesto calling for democratic reforms and protection of human rights in China. In 2010, he was awarded the Nobel Peace Prize """" for his long, nonviolent struggle for fundamental human rights in China. """" Liu was diagnosed with liver cancer in May of this year, and has since received medical treatment in a Beijing prison. His health has been of concern to the international community.",1,gpt-3.5-turbo,test,pt,203,MULTITuDE_MassiveSumm_voaportugues
282,7625,"Prof. Dr. Thierry Kiekhefer, of the Department of Surgery and Patients in Sustainable Law and the Durban Hospital, helped the reality of his collaboration for the therapeutic suck of the wicked that was implemented by the U.S. therapeutic service (Americium de Deus), when members of the two affected states, west and south of southern South America, were on board the airplane to gather security after the raid that devastated parts of a place where there is a state of debt, such as the province of Durban. The map still presents the help and support of the U.S. government that witnessed the raid in the province of Durban, nevertheless, for the security that the two involved states were on board the airplane to gather security after the raid that devastated parts of a place where there is a state of debt, such as the province of",1,opt-iml-max-1.3b,test,pt,152,MULTITuDE_MassiveSumm_rfi
283,7655,"The decision by the Brazilian courts to expel the Italian activist Cesare Battisti, convicted in Italy of four murders committed in the 1970s, had repercussions in the French press. The major newspapers of the European country highlighted the action taken by Brazil and the consequences for Battisti. The newspaper Le Monde highlighted the current situation of the ex-military, who, after years living in France under the protection of former President François Mitterrand, moved to Brazil in 2004, where he received political asylum in 2010, during the Lula administration. The decision to expel Battisti comes at a time of political change in Brazil, with the recent ownership of President Jair Bolsonaro, who was pro-extradition for the Italian. The Libération newspaper reported that Battisti was sentenced to life imprisonment in his country for participating in attacks attributed to the Communist Armed Proletarians (PAC) group and for evading justice by fleeing Italy to Mexico, and then to France. The ex-activist always denied participation in murder.",1,gpt-4,test,pt,244,MULTITuDE_MassiveSumm_rfi
284,7698,"The race to the top of the world — it's never going to happen — but at least it's on the very bad top. It's recovering. Football and high-performance sports are making great progress, but the problem is that according to the doctoral study. I'm Chinese a little bit. And by making that progress, the state is much more controlled when it comes to freedoms. The state controls very little, and what it controls and what it will control is still very little. Chinese live in a statistical and centralist society — controlled by politics and economics, but let's be honest, it's also controlled by culture, by family and by the very nature of the people.",1,opt-66b,test,pt,112,MULTITuDE_MassiveSumm_rfi
285,7701,"Every day of the week. The Ponta Delgada City Hall, with the support of TAP and the Vila Galé Group, is going to improve the collection services of the materials collected from the trash cans that are available in the city. Vila Galé Group, the manager of Hotel Marina Atlântico and owner of the property where TAP's unit is located, in the area around the gates of São Pedro, has donated a space for the collection of recyclable materials for free. This space will be used to install a new garbage collection facility so that the garbage can be taken care of on a daily basis. The current service for the materials that are in the bins and the large companies that are located in the industrial area is three days a week, because there's one service a week and an extra service two or three evenings a week.",1,llama-65b,test,pt,134,MULTITuDE_MassiveSumm_acorianooriental
286,7839,"This Saturday, the 27th, an earthquake killed people who were in the toy town of Tianjin, Hubei, China's most populous city. The earthquake, which occurred in parts of Tianjin, involved dozens of people — an average of four thousand. The earthquake, according to the China Internal Revenue System, had an impact on a small city — just on the ground — but few estimates have reached the tens of thousands of people who died in China. The accident happened in its last 60 days of statehood, with the internal revenue system indicating that more than 1,743 people were trapped on the ground, while we evacuated parts of villages. The accident report was released on Sunday, 29th, by the press and by Chinese commerce and purchasing companies. The Chinese press also released the accident report, which had not been made public in China and by the national public in China. According And according to the press agency,",1,opt-iml-max-1.3b,test,pt,200,MULTITuDE_MassiveSumm_rfi
287,7873,"The elections in Guinea-Bissau are coming and the political parties are struggling to secure the support of various ethnic and religious groups in the region. In this year's presidential election, a total of 15 candidates are running in the dispute. The most prominent ethnic group in Guinea-Bissau is the Balata, who make up about 24 percent of the total population. This ethnic group is being addressed by several candidates, who are seeking the support of these voters. The Guinea-Bissau State Liberation Front — African Party for the Independence of Guinea and Cape Verde (PAIGC) is the most prominent party in the region, having held power in the country since independence in 1974.",1,text-davinci-003,test,pt,106,MULTITuDE_MassiveSumm_voaportugues
288,7888,"Ponta Delgada has planned to serve 14,000 meals at the celebration of the Holy Spirit, which starts in the next few days. With the goal of distributing food to the population at a difficult time, the parties will serve as a symbol of the city's love for its people. The food will be distributed to the neediest as well as to visitors, and it will serve as a space to celebrate the values and customs of St. Michael's Island. Many of these events will feature live music and dance, with performances by the city band and also local singers, and it's expected that thousands of people will attend the celebrations, an event that will be a symbol of unity and hope in the city. The city intends to use this event as a reminder to remember the friendship and strength of the Ponta Delgada community.",1,alpaca-lora-30b,test,pt,133,MULTITuDE_MassiveSumm_acorianooriental
289,7922,"The world's leading economies are projected to have a better growth outlook next year, according to a report released today by the Organization for Economic Cooperation and Development (OECD). Following the report, the OECD predicts that most member countries, including the United States, Europe and Asia, will register stronger economic growth in 2022, in contrast to the global recession that occurred last year due to the COVID-19 pandemic. The countries of the European Union are projected to lead growth, with projected growth of 2.1 percent in 2022, followed by the United States, with projected growth of 2.8 percent. China, in turn, is projected to grow by 6.1 percent, maintaining itself as one of the fastest growing economies in the world. However, the report also highlights that global growth is still subject to risks and uncertainties, including the possibility of high volatility in oil prices and instability in the global economy.",1,vicuna-13b,test,pt,207,MULTITuDE_MassiveSumm_rfi
290,7930,"The International Olympic Committee (IOC) announced this Thursday (16) that it will launch a full investigation into the alleged exploitation of foreign workers in the works of the city of Sochi, Russia. The city was the scene of the 2014 Winter Olympics and has been the target of complaints of labor exploitation, including forced labor, human trafficking and violations of labor rights. The IOC's investigation comes after a series of reports and documentaries that exposed the deplorable conditions faced by foreign workers involved in the construction of Olympic infrastructure and facilities in Sochi. Reports indicate that thousands of migrant workers from Central Asia and the Caucasus were brought in to work in extremely poor conditions, often without a contract or any kind of worker's guarantee. Based on information gathered, workers were often faced with long working days, with inadequate access to medical care, shelter and food.",1,gpt-4,test,pt,215,MULTITuDE_MassiveSumm_rfi
291,7963,"The Portuguese government presented this week the Recovery and Resilience Plan, which aims to respond to the social vulnerabilities affecting the country. The initiative involves investments in areas like health, education and housing, and it aims to ensure social inclusion, family well-being and the reduction of inequalities. The plan, which is the result of a broad process of dialogue between government, public, private and civil society, provides for the allocation of about 14 billion euros for different areas of investment. Among the measures, the housing support program, which aims to expand the supply of social housing, guaranteeing access to decent housing for all citizens. In the health sector, the plan envisages the construction and modernization of health centers and hospitals, as well as increasing the delivery capacity of the public network, through the strengthening of the National Health Service (NHS). It's also going to invest in mental health promotion, a theme that won a May award.",1,gpt-4,test,pt,258,MULTITuDE_MassiveSumm_acorianooriental
292,8019,"The National Resistance Party of Mozambique (Renamo) and the Democratic Movement of Mozambique (MDM) went to the Constitutional Council of Mozambique to contest the results of the presidential, legislative and provincial elections in October 2019. In a collective interview in Maputo, the leader of Renamo, Ossufo Momade, said that the party contests the validation of the results in six provinces, including the province of Sofala, where the party believes there was electoral fraud. MDM leader Daviz Simango also accused the National Elections Commission of manipulating votes and violating rights during the electoral process. He said that the CNE """" has not been able to guarantee transparency, neutrality and fairness in the electoral process. """" Both parties are calling for a new ballot count and new elections in some areas. The results of the October elections gave President Filipe Nyusi and his party, the Frente de Liberación de Moçambique (Frente de Liberación de Moçambique), a victory.",1,gpt-3.5-turbo,test,pt,167,MULTITuDE_MassiveSumm_voaportugues
293,8042,"The Angolan and Mozambican military police were accused of committing human rights abuses in southern Angola, in Matola, during an inspection visit by the U.N. and the European Union. The inspection committee reported that the abuse was common and that the local population was exposed to torture and extrajudicial execution. The U.N. and EU report also indicated that the authorities in Angola and Mozambique were doing nothing to prevent abuses.",1,alpaca-lora-30b,test,pt,81,MULTITuDE_MassiveSumm_voaportugues
294,8045,"By: Luís SilvaAn alert to the dire situation of the natural heritage was launched today by the environmental group Nature in Danger. The alert highlights the worrying decline in biodiversity in Portugal and calls on the competent authorities to take urgent measures to protect our natural heritage. Following NED, the situation of the natural heritage in Portugal is ""gravely threatened"" due to the exploitation of natural resources, pollution, urbanization and climate change. ""Our biodiversity is in danger of extinction, which has a negative impact on our health, our ecosystems and our markets,"" the group said. Among the measures that the NED highlights to protect the natural heritage are the creation of protected areas, the promotion of organic farming, pollution control, the promotion of responsible tourism and the reduction of carbon emissions. The alert to the dire situation of the natural heritage follows a week of intense storms that cause",1,vicuna-13b,test,pt,201,MULTITuDE_MassiveSumm_acorianooriental
295,8075,"from September 27th to October 3rd, 2015."" (PDF) It's called the Nurse Order. Retrieved 18 December 2017.^ ""Decree Law No. 245/75, of 19 March."" Diary of the Republic. Retrieved December 18, 2017.^ ""Management Board Resolution 388/2006 of March 9th"" (PDF). They're called psychologists. Retrieved December 18, 2017.^ ""April 25th Declaration."" Lawyer's Guild. April 19, 2016. Retrieved 18 December 2017.Retrieved from ""https://en.wikipedia.org/w/index.php?",1,llama-65b,test,pt,79,MULTITuDE_MassiveSumm_acorianooriental
296,8090,"A new research project on superbugs, which may provide a solution to one of the world's biggest health problems, is currently stalled in Brazil because of a lack of financial support. Around the world, several countries have expressed concern about antibiotic-resistant superbugs, and a new Brazilian study that's trying to develop new drugs to combat this global threat has been stopped because of a lack of funding. The project leader, Professor Antonio Augusto Junior of the University of Campinas, said that research funding is crucial to its success, and he hoped that the Brazilian government would offer more help to help take the research forward.""With support, our work will have to be stopped,"" said Professor Augusto. It's no surprise that funding for scientific research has been overlooked in the face of other government priorities, like tax reform. However, the long-term effects of new superbug research",1,text-davinci-003,test,pt,190,MULTITuDE_MassiveSumm_bbc
297,8095,"Mutassim is nervous. The 16-year-old boy had never flown before. He looks at the other passengers waiting at the boarding gate at the Athens airport, and as people start boarding, the Syrian guard rewinds in his mind the phrases in Spanish that he's learned. The authorities might ask him questions, and he's traveling with a fake Spanish passport. The document cost over 3,000 euros and was bought by smugglers from people who had helped him flee Syria to Turkey and now to Europe. Just a month earlier, he had been in Raqqa, a city controlled by the self-proclaimed Islamic State. The teenager had been placed to work in a local hospital and take care of A.I. fighters. Before that, he was in one of the propaganda units of the group, but that was another life, which he wants to forget. The air strikes, the screams, the people being kidnapped — you've now been left behind.",0,human,test,pt,161,MassiveSumm_bbc
298,8174,"Japan's engines have resisted the country's economic recession. Even with declining consumption and rising unemployment, adult hotel establishments continue to attract customers and keep paying their bills. According to the Japan Travel Association, the number of reservations has remained stable in recent years, thanks to innovative marketing and promotional strategies. In addition, many hotels have invested in new technologies, such as implementing online reservation systems and using mobile apps to facilitate customer access. Another factor that has contributed to the resilience of Japanese hotels to the recession is the country's culture, which values privacy and description in love relationships. Hotels are seen as a safe and discreet space for couples who want to get away from the hustle and bustle of everyday life and spend time on their own. Considering the controversies surrounding the adult tourism industry, Japanese hotels have adapted to the country's economic and social changes, ensuring their safety and security.",1,gpt-3.5-turbo,test,pt,176,MULTITuDE_MassiveSumm_bbc
299,8193,"(Laughter) (Applause) In: S. Paulo's Folha, 15. March 2021, abrufen am 22. March 2021.50.  Video shows armed soldiers in the center of Bissau. Deutsche Welle, 14. March 2021, abrufen am 19. March 2021.51.  The prime minister of Guinea-Bissau resigns for security reasons. Deutsche Welle, 20. March 2021, abrufen am 20. March 2021.52.  The President of the National Assembly of Guinea-Bissau is expelled from the party. Deutsche Welle, 23. March 2021, retrieved on the 23rd. March 2021.53.  Opponent Nuno Gomes Nabiam is the new prime minister of Guinea-Bissau. Deutsche Welle, 28. March 2021, abrufen am 28. March 2021.54.  Who's who in Guinea-Bissau's political crisis. Deutsche Welle, 22. March 2021, abrufen am 22. March 2021.55.  President of Guinea-Bissau suspends Chief of General Staff in political crisis.",1,llama-65b,test,pt,120,MULTITuDE_MassiveSumm_voaportugues
300,8214,"In a shocking incident, two children spent two days held at home with the body of their mother, who had died of unknown causes. The case came to light last Friday in a small town in the interior of the state, where the children, a six-year-old boy and a four-year-old girl, were found by a neighbor who decided to find out about the situation after realizing the children's mother was not there. According to information, the 32-year-old woman lived alone with her children and had no immediate family in the area. The neighbor, concerned about the family, decided to come into the house and found her mother's body in the room, already in a state of decomposition. Immediately, the authorities responded and the children were taken to the local hospital for medical attention and psychological counseling. Preliminary investigations indicate that the woman died of natural causes, but police are awaiting the results of the coroner's examination to confirm the cause of death.",1,gpt-4,test,pt,160,MULTITuDE_MassiveSumm_bbc
301,8224,"By Duslan TUSLANIATI | March 22, 2019Of the Europeans accusing the Arab country of ""violating the entire de-escalation agreement,"" the French press says the agreements are appealing to Ukraine for violating its pacts. The six countries of the Brussels Accord for the process of dialogue and exit from the country, they don't have the opportunity to vote in terms of the course of the retaliation actions of these countries, even if they refuse if they don't vote. The president of the European Union, Ursula von der Leyen, confirmed that the right countries will not have ""no re-treatment, no restriction,"" as the countries of the Brussels Accord and the Paris Accord were right at that time, from the exit. The six countries that will not have re-treatment will have nothing ""of the kind of retaliation that is envisaged for",1,opt-iml-max-1.3b,test,pt,213,MULTITuDE_MassiveSumm_rfi
302,8287,"Luanda — A bill to criminalize the misuse of social media has been the subject of intense debate in Angola. The proposal, put forward by the Angolan government, has generated controversy and concern about freedom of expression and fundamental rights in the country, and the project criminalizes behaviors such as the dissemination of false information, hate speech and other practices considered offensive, as well as establishing penalties for those found to be violators. The penalties include fines, confiscation of electronic equipment and even imprisonment in more serious cases. Proponents of the bill argue that the proposal aims to protect citizens and maintain public order in the country by combating the spread of false news and speech that incites violence. Furthermore, they argue that many countries already have similar legislation in place, ensuring the safety of citizens in the use of social networks. ",1,gpt-4,test,pt,225,MULTITuDE_MassiveSumm_voaportugues
303,8317,The President of the Republic issued a diploma yesterday that aims to encourage the dematerialization of school textbooks.,1,vicuna-13b,test,pt,18,MULTITuDE_MassiveSumm_acorianooriental
304,8328,""""" Mozambique's population does not feel the impact of its economy's growth, """" July 10, 2012 article on the website Analysis.21.  ""Inequality and Poverty in Latin America and the Caribbean,"" article from 2001 on the CEPAL.22 website.  ""Violence Against Women in Latin American and Caribbean Countries,"" 2011 report on the CEPAL.23 website.  According to Article 19 of the Convention on the Elimination of All Forms of Discrimination against Women. 169 on indigenous and tribal peoples at all levels of economic and political development, UNDP considers them the poorest countries on the planet.  ""The problems in Peru's economy are at all levels,"" interview with Hernando de Soto, February 21, 2009, on the UPC.25 website.  Under Poverty. How to overcome it. ""Economic Development and Inequality in Peru,"" pp. 79-86.26.  """" Peru: Inequality, poverty and impunity, """" article in the newspaper La Latina.27.  """" Alan García's government is the worst in 100 years.",1,llama-65b,test,pt,196,MULTITuDE_MassiveSumm_voaportugues
305,8329,"A young Angolan man who lived and grew up with the horrors of the Civil War decided not to celebrate 11 November, which marks the date of Angola's independence. 1975 was a symbolic date for the country, but for him, it's another reminder of the chaos and despair that this nation had to endure. At 24, he believes that Angola's independence only came when the country finally managed to end the civil war, which lasted for about 30 years. I'm not a big fan of celebrating our independence in a grand way. For me, that date is another day when I remember all those who lost their lives so that Angola could be free,"" he said. In this way, the young man says he recognizes the work and the courage of Angolan ancestors who fought so that Angola could get where it is now, and he is more aware of the history of his country.",1,text-davinci-003,test,pt,156,MULTITuDE_MassiveSumm_voaportugues
306,8400,"The Health Administration warned the Board of Nurses that a partial suspension of registration is not possible. The action was taken after a meeting with the institution, which pointed out that the decision to partially suspend the registration of health professionals would be a """" disrespect """" to existing decrees and laws. According to the Health Authority, the Order of Nurses needs to ensure that all health professionals are aware of the changes in the registration requirement, with the aim of avoiding potential sanctions and penalties. The institution also pointed out that the partial suspension of registration would be unconstitutional, since the general rule is that all health professionals must be registered with the CPRH. The Order of Nurses was invited to meet again with the Health Authority to discuss the next steps and avoid any violation of existing laws and decrees.",1,vicuna-13b,test,pt,141,MULTITuDE_MassiveSumm_acorianooriental
307,8406,The Angolan Women's Andebol Selection has one more reason to celebrate!,1,text-davinci-003,test,pt,14,MULTITuDE_MassiveSumm_rfi
308,8420,"The United States today announced enhanced cooperation with Angola in the area of regional and maritime security. The announcement was made by U.S. Secretary of State Mike Pompeo, who met with Angolan President João Lourenço to discuss deepening cooperation between the two countries. According to Pompeo, cooperation will include preventing and combating drug and human trafficking, as well as strengthening maritime security. The secretary added that Washington also wants to ""establish stronger partnerships to jointly respond to the challenges of the region.""",1,text-davinci-003,test,pt,90,MULTITuDE_MassiveSumm_voaportugues
309,8425,"Nine.  Japan is growing at 4.4 percent in the second quarter and raising hopes for the end of the recession.10  Japan has grown by 4.7 percent in the first quarter.11  Japan's third-quarter economic growth surpasses analysts and leaves the dollar under pressure. (Broken link available at Internet Archive; see history, first version and last version).12.  Japan's economic growth is better than expected. (Broken link available on the Internet Archive; see the history, first version and last version.) 13.  Japan's growing its economy at 5.9 percent.14  Japan's economy is growing at its best in the last 11 years.15  Japan posts third highest GDP growth rate in 20 years16.  ""Japan keeps interest rates low."" Archived from the original on November 17, 2011. Accessed April 28, 2011.17.  Japan keeps interest rates at historic lows.18  The Central Bank of Japan keeps rates low to stem the crisis.  Japan keeps rates low until it recovers its exports.20",1,llama-65b,test,pt,217,MULTITuDE_MassiveSumm_bbc
310,8506,"A new political party in Angola, the Young People's Party of Angola, called today on the young people of that country to be courageous and to have faith in the future. This party's main goal is to revive hope in the country. The party's general secretary, Mr. José da Silva, said the party is committed to helping young people fight for a better and fairer Angola. ""We will stand up for young people, I mean, we are anxious to ensure that the future of this country is stronger and fairer,"" said Mr. da Silva. He added that the party, which is only three months old, already has a strong base of young members from all the provinces of Angola. He added that the party's mission is not only to give voice to the youth movement, but also to create a culture of leadership in the country.",1,alpaca-lora-30b,test,pt,145,MULTITuDE_MassiveSumm_voaportugues
311,8575,The political polarization affecting both the United States and Brazil has extrapolated the boundaries of the Covid-19 sanitation crisis.,1,text-davinci-003,test,pt,21,MULTITuDE_MassiveSumm_rfi
